step,index,gas,latency_ms
enroll,0,114314,9
product,0,405988,10
enroll,1,97202,11
product,1,405976,10
enroll,2,97214,9
product,2,406012,13
enroll,3,97214,9
product,3,406000,11
enroll,4,97202,11
product,4,405988,9
enroll,5,97214,9
product,5,406000,9
enroll,6,97214,8
product,6,405988,10
enroll,7,97214,8
product,7,406012,10
enroll,8,97214,8
product,8,406000,10
enroll,9,97202,7
product,9,406000,9
enroll,10,97214,8
product,10,406012,8
enroll,11,97214,8
product,11,406000,8
enroll,12,97214,9
product,12,406000,8
enroll,13,97214,10
product,13,406012,9
enroll,14,97214,7
product,14,406012,9
enroll,15,97214,7
product,15,406012,9
enroll,16,97214,10
product,16,406000,9
enroll,17,97202,6
product,17,405988,8
enroll,18,97214,6
product,18,406000,8
enroll,19,97214,6
product,19,405988,9
enroll,20,97202,7
product,20,405988,9
enroll,21,97214,7
product,21,406012,11
enroll,22,97214,7
product,22,406000,8
enroll,23,97214,6
product,23,406012,8
enroll,24,97214,7
product,24,406000,9
enroll,25,97214,7
product,25,406000,9
enroll,26,97214,6
product,26,406012,8
enroll,27,97214,6
product,27,405988,8
enroll,28,97214,6
product,28,406012,9
enroll,29,97202,6
product,29,405988,7
enroll,30,97214,5
product,30,406000,7
enroll,31,97214,8
product,31,406000,9
enroll,32,97214,7
product,32,406000,9
enroll,33,97214,6
product,33,405988,8
enroll,34,97214,7
product,34,406000,9
enroll,35,97214,7
product,35,406024,9
enroll,36,97214,7
product,36,405988,8
enroll,37,97214,6
product,37,406012,9
enroll,38,97214,6
product,38,405988,8
enroll,39,97214,7
product,39,406024,8
enroll,40,97214,7
product,40,405988,8
enroll,41,97214,6
product,41,406000,9
enroll,42,97214,8
product,42,406012,8
enroll,43,97214,29
product,43,405988,16
enroll,44,97214,7
product,44,406000,8
enroll,45,97202,7
product,45,406000,9
enroll,46,97214,7
product,46,405988,8
enroll,47,97202,7
product,47,405988,11
enroll,48,97214,8
product,48,406000,8
enroll,49,97214,8
product,49,406000,9
enroll,50,97214,7
product,50,406000,10
enroll,51,97214,7
product,51,405964,9
enroll,52,97214,7
product,52,406000,9
enroll,53,97214,7
product,53,405988,10
enroll,54,97214,7
product,54,406000,9
enroll,55,97214,7
product,55,406000,9
enroll,56,97214,9
product,56,406012,8
enroll,57,97202,9
product,57,405976,9
enroll,58,97214,11
product,58,406012,9
enroll,59,97214,10
product,59,405988,10
enroll,60,97214,8
product,60,406000,9
enroll,61,97214,7
product,61,406000,9
enroll,62,97214,7
product,62,406012,8
enroll,63,97214,6
product,63,406000,9
enroll,64,97214,7
product,64,406000,8
enroll,65,97214,6
product,65,406012,9
enroll,66,97214,6
product,66,406012,11
enroll,67,97214,8
product,67,406000,9
enroll,68,97214,8
product,68,406000,7
enroll,69,97202,8
product,69,406000,8
enroll,70,97214,8
product,70,406012,9
enroll,71,97214,8
product,71,406012,8
enroll,72,97214,8
product,72,406012,9
enroll,73,97214,7
product,73,406000,9
enroll,74,97214,8
product,74,406000,8
enroll,75,97214,6
product,75,406000,9
enroll,76,97214,7
product,76,406012,9
enroll,77,97202,7
product,77,406000,8
enroll,78,97214,7
product,78,406012,8
enroll,79,97214,6
product,79,406000,9
enroll,80,97214,7
product,80,406012,9
enroll,81,97202,7
product,81,406000,9
enroll,82,97214,7
product,82,405964,9
enroll,83,97214,7
product,83,405988,8
enroll,84,97214,7
product,84,406000,8
enroll,85,97202,7
product,85,405988,8
enroll,86,97202,7
product,86,405976,8
enroll,87,97214,9
product,87,406000,8
enroll,88,97214,7
product,88,406024,9
enroll,89,97214,8
product,89,406012,8
enroll,90,97214,8
product,90,406012,8
enroll,91,97214,7
product,91,406012,8
enroll,92,97202,7
product,92,406000,9
enroll,93,97214,8
product,93,406000,8
enroll,94,97214,8
product,94,406000,8
enroll,95,97214,6
product,95,406012,8
enroll,96,97214,8
product,96,406012,8
enroll,97,97214,7
product,97,406012,8
enroll,98,97214,8
product,98,406000,8
enroll,99,97202,7
product,99,405976,8
